Timestep,Model,Accumulation,Outflow,Travel_time
1,MD-model,1058.25,240.7,169.51
2,MD-model,1125.72,242.71,263.4
3,MD-model,1200.47,263.36,376.9
4,MD-model,1279.22,272.87,502.17
5,MD-model,1362.91,269.35,627.42
6,MD-model,1456.11,267.91,752.68
7,MD-model,1549.3,270.19,881.05
8,MD-model,1642.5,273.37,1044.49
9,MD-model,1734.86,276.97,1203.63
10,MD-model,1879.23,280.77,1364.83
11,MD-model,2016.42,284.95,1560.99
12,MD-model,2144.82,289.77,1751.72
13,MD-model,2259.21,294.79,1945.84
14,MD-model,2367.6,299.78,2174.66
15,MD-model,2467.18,304.78,2403.52
16,MD-model,2576.44,306.74,2640.5
17,MD-model,2700.28,312.7,2902.13
18,MD-model,2832.25,320.51,3189.74
19,MD-model,2972.7,327.51,3468.99
20,MD-model,3131.44,333.37,3719.7
21,MD-model,3307.94,344.41,4006.59
22,MD-model,3483.64,354.27,4318.92
23,MD-model,3681.51,361.35,4660.85
24,MD-model,3892.95,367.36,5036.6
25,MD-model,4087.53,375.95,5433.34
26,MD-model,4290.9,385.72,5847.88
27,MD-model,4497.3,395.25,6277.7
28,MD-model,4691.53,403.02,6739.38
29,MD-model,4907.06,412.33,7205.07
30,MD-model,5096.86,419.86,7685.31
31,MD-model,5316.83,427.1,8211.97
32,MD-model,5521.27,434.44,8775.3
33,MD-model,5723.53,441.63,9360.77
34,MD-model,5940.44,446.74,9975.12
35,MD-model,6144.21,450.79,10621.18
36,MD-model,6350.84,458.04,11303.63
37,MD-model,6560.07,461.04,12058.01
38,MD-model,6758.3,462.35,12854.62
39,MD-model,6970.22,463.67,13608.19
40,MD-model,7185.01,464.82,14440.21
41,MD-model,7401.35,465.83,15373.75
42,MD-model,7596.88,466.5,16370.89
43,MD-model,7809.95,467.09,17373.2
44,MD-model,8025.54,467.82,18462.53
45,MD-model,8218.05,468.77,19638.19
46,MD-model,8394.74,469.27,20809.67
47,MD-model,8516.3,468.95,22137.97
48,MD-model,8587.52,468.19,23360.02
49,MD-model,8607.61,467.16,24696
50,MD-model,8573.63,466,25985.26
51,MD-model,8491.82,464.98,27200.63
52,MD-model,8350.42,464.01,28403.65
53,MD-model,8153.34,462.8,29470.21
54,MD-model,7937.97,461.52,30504.81
55,MD-model,7699.35,460.36,31483.02
56,MD-model,7474.33,459.21,32391.75
57,MD-model,7247.18,458.04,33214.07
58,MD-model,6992.12,456.58,33981.41
59,MD-model,6760.64,455.12,34733.76
60,MD-model,6511.62,453.55,35418.01
61,MD-model,6259.82,452.02,36012.53
62,MD-model,6006.05,450.23,36572.5
63,MD-model,5758.97,448.34,37114.45
64,MD-model,5531.57,446.52,37615.96
65,MD-model,5275.25,444.34,38117.51
66,MD-model,5028.18,442.05,38545.69
67,MD-model,4774.42,440.71,38921.77
68,MD-model,4527.33,439.72,39297.92
69,MD-model,4268.35,438.83,39674.03
70,MD-model,4043.6,437.95,40029.53
71,MD-model,3792.94,436.95,40356.6
72,MD-model,3570.63,430.35,40620.2
73,MD-model,3348.31,422.8,40881.78
74,MD-model,3128.64,417.67,41142.67
75,MD-model,2932.48,410.52,41393.33
76,MD-model,2744.65,403.91,41650.03
77,MD-model,2583.16,392.29,41908.37
78,MD-model,2464.33,382.84,42137.25
79,MD-model,2352.45,375.37,42323.69
80,MD-model,2240.57,364.97,42498.16
81,MD-model,2128.7,356.08,42717.5
82,MD-model,2034.13,343.69,42915.4
83,MD-model,1958.58,332.66,43099.21
84,MD-model,1886.2,321.7,43262.63
85,MD-model,1820.15,310.97,43426.06
86,MD-model,1759.72,298.72,43587.69
87,MD-model,1707.09,287.8,43744.31
88,MD-model,1658.01,280.22,43900.94
89,MD-model,1609.76,266.31,44051.42
90,MD-model,1561.51,256.87,44182.13
1,Greedy control,1048.3,227.03,163.49
2,Greedy control,1124.38,242.29,257.45
3,Greedy control,1200.47,257.56,369
4,Greedy control,1279.22,273.6,494.26
5,Greedy control,1362.91,272.12,619.52
6,Greedy control,1456.11,271.62,761.49
7,Greedy control,1549.3,272.59,918.11
8,Greedy control,1642.5,275.11,1074.74
9,Greedy control,1734.86,278.23,1231.37
10,Greedy control,1877.3,281.68,1387.99
11,Greedy control,1979.6,285.96,1544.61
12,Greedy control,2108.75,290.42,1751.09
13,Greedy control,2233.12,295.42,2011.64
14,Greedy control,2345.67,300.71,2230.99
15,Greedy control,2460.53,305.6,2450.34
16,Greedy control,2581.32,309.95,2669.68
17,Greedy control,2702.11,317.04,2931.02
18,Greedy control,2822.89,323.56,3192.61
19,Greedy control,2943.68,330.08,3457.23
20,Greedy control,3064.47,337.14,3751.5
21,Greedy control,3193.17,347.7,4076.32
22,Greedy control,3374.1,357.56,4414.5
23,Greedy control,3553.48,365.82,4741.49
24,Greedy control,3758.32,374.23,5068.54
25,Greedy control,3967.19,384.62,5424.73
26,Greedy control,4168.71,393.36,5835.04
27,Greedy control,4365.83,402.12,6245.33
28,Greedy control,4587.38,411.47,6687.37
29,Greedy control,4772.18,418.34,7161.94
30,Greedy control,4993.44,425.78,7663.53
31,Greedy control,5203.8,432.28,8188.22
32,Greedy control,5384.96,438.14,8739.69
33,Greedy control,5622.09,443.92,9331.55
34,Greedy control,5830.85,449.53,9965.09
35,Greedy control,6033.5,453.68,10598.7
36,Greedy control,6227.23,457.16,11267.42
37,Greedy control,6391.54,460.07,12008.47
38,Greedy control,6661.79,462.08,12794
39,Greedy control,6868.62,463.6,13622.47
40,Greedy control,7069.49,464.88,14436.67
41,Greedy control,7279.96,465.63,15351.88
42,Greedy control,7496.34,466.31,16323.61
43,Greedy control,7706.4,467.09,17344.92
44,Greedy control,7918.93,467.86,18393.16
45,Greedy control,8124.8,468.68,19605.91
46,Greedy control,8326.07,469.57,20762.25
47,Greedy control,8464.48,469.16,22039.43
48,Greedy control,8539.27,468.45,23348.28
49,Greedy control,8559.24,467.45,24594.51
50,Greedy control,8524.25,466.3,25838.02
51,Greedy control,8421.8,465.46,27149.59
52,Greedy control,8251.22,464.83,28281.59
53,Greedy control,8027.34,463.3,29356.44
54,Greedy control,7805.39,462.31,30357.74
55,Greedy control,7576,461.22,31343.65
56,Greedy control,7340.17,459.86,32143.69
57,Greedy control,7104.79,458.35,32940.33
58,Greedy control,6858.64,456.67,33737.01
59,Greedy control,6626.64,455.21,34461.19
60,Greedy control,6367.35,453.65,35134.8
61,Greedy control,6139.86,452.17,35720.72
62,Greedy control,5862.05,450.72,36294.77
63,Greedy control,5624.58,448.47,36868.67
64,Greedy control,5375.39,446.4,37393.07
65,Greedy control,5126.45,444.23,37858.77
66,Greedy control,4888.94,442.02,38298.96
67,Greedy control,4637.39,440.56,38714.99
68,Greedy control,4410.13,439.71,39104.98
69,Greedy control,4136.72,438.77,39432
70,Greedy control,3902.7,437.55,39778.02
71,Greedy control,3659.67,434.81,40111.89
72,Greedy control,3435.89,431.69,40384.39
73,Greedy control,3220.13,426.7,40656.89
74,Greedy control,3016.61,421.68,40929.4
75,Greedy control,2805.7,414.6,41201.9
76,Greedy control,2638.05,407.89,41433.84
77,Greedy control,2489.83,398.03,41662.69
78,Greedy control,2347.98,391.34,41891.53
79,Greedy control,2227.49,380.04,42120.41
80,Greedy control,2114.81,371.26,42307.68
81,Greedy control,2018.45,361.84,42466.22
82,Greedy control,1927.01,351.18,42654.22
83,Greedy control,1846.06,340.77,42846.68
84,Greedy control,1773.07,329.85,43039.06
85,Greedy control,1705.62,318.61,43195.68
86,Greedy control,1645.78,307.53,43356.26
87,Greedy control,1593.32,296.83,43512.42
88,Greedy control,1547.6,285.42,43633.54
89,Greedy control,1503.83,273.37,43796.98
90,Greedy control,1460.07,261.04,43960.42
1,Fixed control,995.9,240.7,124.49
2,Fixed control,1092.5,244.7,236.66
3,Fixed control,1189.09,256.38,348.83
4,Fixed control,1285.69,252.98,460.99
5,Fixed control,1382.28,244.95,573.16
6,Fixed control,1480.27,242.03,711.07
7,Fixed control,1582.26,241.82,857.97
8,Fixed control,1677.15,243.97,1004.88
9,Fixed control,1861.59,246.57,1151.78
10,Fixed control,2042.52,249.94,1321.76
11,Fixed control,2217.72,254.59,1528.8
12,Fixed control,2385.94,258.84,1735.84
13,Fixed control,2538.79,263.35,1942.87
14,Fixed control,2683.64,267.72,2214.3
15,Fixed control,2822.9,272.64,2490.72
16,Fixed control,2966.65,277.16,2767.15
17,Fixed control,3109.18,283.06,3020.28
18,Fixed control,3277.75,290.09,3252.21
19,Fixed control,3443.5,297.59,3559.95
20,Fixed control,3629,304.59,3880.21
21,Fixed control,3825.78,315.51,4210.16
22,Fixed control,4020.5,324.89,4552.02
23,Fixed control,4242.53,332.77,4908.44
24,Fixed control,4464.57,342.67,5293.42
25,Fixed control,4686.61,355.76,5724.47
26,Fixed control,4886.59,366.51,6190.14
27,Fixed control,5105.8,376.31,6706.67
28,Fixed control,5315.29,386.42,7250.58
29,Fixed control,5537.41,395.56,7813.73
30,Fixed control,5746.63,405.4,8415.5
31,Fixed control,5962.47,413.37,9046.71
32,Fixed control,6165.21,421.75,9680.27
33,Fixed control,6381.4,428.63,10354.23
34,Fixed control,6603.27,435.03,11098.29
35,Fixed control,6807.73,441.11,11894.95
36,Fixed control,7025.45,446.18,12691.55
37,Fixed control,7247.48,449.69,13512.72
38,Fixed control,7469.5,451.15,14455.16
39,Fixed control,7693.79,451.02,15445.97
40,Fixed control,7921.01,450.2,16574.51
41,Fixed control,8176.78,448.62,17703.17
42,Fixed control,8419.39,446.6,18880.72
43,Fixed control,8682.25,443.99,20216.54
44,Fixed control,8964.36,440.9,21721.35
45,Fixed control,9234.82,437.21,23366.5
46,Fixed control,9481.53,432.49,25091.98
47,Fixed control,9694.85,426.7,26836.71
48,Fixed control,9864.27,419.81,28738.88
49,Fixed control,9985.78,413.51,30751.16
50,Fixed control,10053.44,405.84,32721.57
51,Fixed control,10065.63,398.76,34644.29
52,Fixed control,10052.45,392.18,36558.83
53,Fixed control,9971.32,384.92,38537.69
54,Fixed control,9870.09,378.37,40422.89
55,Fixed control,9761.96,371.85,42153.46
56,Fixed control,9650.69,365.1,43884.12
57,Fixed control,9534.05,360.34,45458.07
58,Fixed control,9411.52,355.22,47134.12
59,Fixed control,9283,350.4,48668.15
60,Fixed control,9152.83,346.62,50047.56
61,Fixed control,9013.69,343.44,51427.04
62,Fixed control,8869.07,340.64,52818.11
63,Fixed control,8724.47,338.72,54033.63
64,Fixed control,8576.53,337.53,55224.02
65,Fixed control,8415.6,336.98,56352.65
66,Fixed control,8250.04,337.32,57415.95
67,Fixed control,8084.47,339.24,58419.18
68,Fixed control,7907.71,341.98,59422.39
69,Fixed control,7728.11,345.02,60350.8
70,Fixed control,7531.28,348.28,61179.25
71,Fixed control,7336.1,351.44,61975.89
72,Fixed control,7136.2,354.35,62749.21
73,Fixed control,6939.53,357.31,63470.66
74,Fixed control,6746.36,360.16,64142.97
75,Fixed control,6529,362.87,64805.96
76,Fixed control,6340.17,365.46,65370.18
77,Fixed control,6118.39,367.87,65934.39
78,Fixed control,5905.62,370.28,66478.64
79,Fixed control,5693.97,372.72,66998.51
80,Fixed control,5491.36,374.07,67500.02
81,Fixed control,5283.44,375.22,67915.48
82,Fixed control,5067.4,376.49,68336.67
83,Fixed control,4872.93,377.32,68750.35
84,Fixed control,4662.72,377.9,69110.07
85,Fixed control,4462.97,378.11,69468.62
86,Fixed control,4253.73,377.18,69819.41
87,Fixed control,4065.83,375.28,70156.01
88,Fixed control,3869,372.36,70417.62
89,Fixed control,3692.24,368.74,70686.54
90,Fixed control,3515.48,364.6,70960.04
1,Baseline model,1299.1,238.92,169.51
2,Baseline model,1385.75,243.84,263.4
3,Baseline model,1472.4,256.03,376.9
4,Baseline model,1559.05,263.15,501.61
5,Baseline model,1645.71,260.75,621.86
6,Baseline model,1732.36,261.7,744.77
7,Baseline model,1819.01,264.14,870.74
8,Baseline model,1905.66,268.17,1034.18
9,Baseline model,1992.32,273.26,1211.54
10,Baseline model,2078.97,277.64,1397.87
11,Baseline model,2165.62,283.29,1554.49
12,Baseline model,2252.27,288.08,1749.98
13,Baseline model,2338.93,293.42,1977.98
14,Baseline model,2425.58,298.52,2197.33
15,Baseline model,2512.23,303.01,2434.63
16,Baseline model,2598.88,308.41,2685.97
17,Baseline model,2712.16,314.79,2947.53
18,Baseline model,2838.95,322.07,3209.12
19,Baseline model,2975.46,328.72,3475.8
20,Baseline model,3113.06,333.18,3770.07
21,Baseline model,3303.67,346.71,4064.4
22,Baseline model,3473.87,355.14,4370.77
23,Baseline model,3668.36,365.31,4712.7
24,Baseline model,3881.58,374.23,5070.01
25,Baseline model,4084.21,385.17,5436.49
26,Baseline model,4274.54,393.49,5814.28
27,Baseline model,4496.45,403.35,6258.78
28,Baseline model,4692.7,410.84,6716.8
29,Baseline model,4910.85,418.84,7182.53
30,Baseline model,5106.68,425.36,7648.23
31,Baseline model,5318.56,431.81,8211.08
32,Baseline model,5515.02,437.68,8775.29
33,Baseline model,5732.95,443.55,9353.23
34,Baseline model,5938.78,449.12,9957.57
35,Baseline model,6146.67,453.25,10593.4
36,Baseline model,6356.98,457.34,11262.12
37,Baseline model,6573.61,460.29,12008.46
38,Baseline model,6776.95,462.35,12795.93
39,Baseline model,6986.17,463.86,13592.56
40,Baseline model,7202.05,464.92,14451.78
41,Baseline model,7412.75,465.72,15345.27
42,Baseline model,7629.36,466.25,16307.59
43,Baseline model,7832.35,466.97,17359.53
44,Baseline model,8041.95,467.77,18345.66
45,Baseline model,8237.87,468.66,19561.05
46,Baseline model,8434.79,469.01,20776.55
47,Baseline model,8549.79,468.99,22014.5
48,Baseline model,8603.11,468.35,23312.57
49,Baseline model,8615.29,467.31,24545.65
50,Baseline model,8590.22,466.19,25886.62
51,Baseline model,8494.53,465.14,27102.09
52,Baseline model,8358.77,464.35,28234.09
53,Baseline model,8163.92,463.3,29347.13
54,Baseline model,7942.46,461.96,30438.87
55,Baseline model,7721.21,460.63,31388.09
56,Baseline model,7478.05,459.58,32257.65
57,Baseline model,7236.78,458.25,33102.24
58,Baseline model,7004.41,456.74,33886.38
59,Baseline model,6754.43,455.16,34616.78
60,Baseline model,6497.75,453.58,35281.84
61,Baseline model,6278.51,452.16,35883.33
62,Baseline model,6005.78,450.49,36516.86
63,Baseline model,5770.13,448.42,37044.32
64,Baseline model,5524.13,446.45,37552.66
65,Baseline model,5278.13,444.34,38025.18
66,Baseline model,5025.5,442,38453.44
67,Baseline model,4779.47,440.41,38863.76
68,Baseline model,4535.45,439.64,39239.08
69,Baseline model,4280.82,438.79,39590.96
70,Baseline model,4051.84,437.67,39918.02
71,Baseline model,3805.84,435.3,40229.79
72,Baseline model,3575.16,432.24,40514.63
73,Baseline model,3353.7,427.44,40765.34
74,Baseline model,3127.91,421.79,41054.71
75,Baseline model,2935.28,414.93,41320.57
76,Baseline model,2747.86,407.3,41549.4
77,Baseline model,2581.59,394.88,41799.75
78,Baseline model,2442.04,386.09,42021.05
79,Baseline model,2321.91,377.9,42209.03
80,Baseline model,2212.78,363.66,42426.89
81,Baseline model,2112.93,354.3,42636.01
82,Baseline model,2021.93,343.63,42832.16
83,Baseline model,1953.34,331.67,42995.97
84,Baseline model,1890.32,320.95,43176.98
85,Baseline model,1830.68,308.66,43367.06
86,Baseline model,1771.03,297.58,43492.32
87,Baseline model,1711.38,288.04,43658.08
88,Baseline model,1651.74,275.98,43845.73
89,Baseline model,1592.09,263.03,43971
90,Baseline model,1532.44,252.77,44096.26
